Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Parking,Appliances,Window Views,Links
Stone,No,Not available,4,80 sq.m.,3,1,from 3 m,4,Open balcony,Not available,Old Renovation,Aragatsotn › Tsaghkahovit,"$16,000",USD,"Urgent sale of 3-room apartments, for details, call the indicated numbersTranslated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/18261673
Stone,No,Not available,2,750 sq.m.,4,2,from 3 m,2,Open balcony,,Partial Renovation,Aragatsotn › Ashtarak,"$100,000",USD,"I am selling and exchanging a two-story private house at Proshyan address in Ashtarak city.I am the owner.The total area is 750 square meters.Land 600 square metersEach floor of the house is 150 square meters.Ceilings of two floors made of monolithic concrete.On the first floor there is a large living room, a kitchen, a separate bathroom and a large dryer.On the second floor there are 4 rooms, a large living room and a toilet. From the windows of the rooms you can see a beautiful view of Mount Masis and 80% of the city of Ashtarak.The house has a balcony along the length of the house.It has all utilities (hot and cold), water, gas, electricity.Internet, landline telephone.Translated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/18077784
Panels,No,Available,10,97 sq.m.,3,1,from 2.8 m,2,Multiple balconies,Available,Major Renovation,Aragatsotn › Davtashen,"$115,000",USD,"An apartment is for saleDavtashen, 2nd district• 97 square meters area• 3 rooms•10/2nd/Floor/Panel_• capital repair•Heating System• Euro windows/doors• the bathroom is tiled• Built-in wardrobes• open and closed balconies•storage room• to the sunCode AN381Translated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/18006657
Stone,Yes,Not available,3,55 sq.m.,3,2,from 2.5 m,3,Open balcony,Not available,Partial Renovation,Aragatsotn › Ashtarak,$600,USD,"Do you want to buy an apartment away from the noise of the city, but close to the city?Do you want to be surrounded by greenery, have a wonderful view and all that is affordable?Our offer is just for youBuy apartments: 1 sq. M. Starting from $600, just 15 km from Yerevan, in a newly built neighborhood near the Yerevan-Ashtarak highway.You have a down payment, but you don't have a credit history and you are confident in your abilities, we have an offer for you as well, with installment terms, without a bank, because we will do everything in our power to get you the apartment of your dreams.Completion of the full construction of the district in December 2022.Green areaSecuritySolar systemA wonderful sightClean AirParking lotPlaygroundSwimming-poolTranslated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/16454165
Stone,No,Not available,4,120 sq.m.,4,1,from 2.8 m,4,Open balcony,By agreement,Old Renovation,"Քոթանյան փողոց 10, Թալին քաղաք","15,500,000 ֏",AMD,"Apartment for sale in Talin M. On the 4th floor of a stone building on Kotanyan Street. The building was built in 1994 and is a very strong, earthquake-resistant building (located in front of Talin Hospital) The apartment is gasified, all the wires (multi-core) are made of copper, the parquet is made of oak-beech wood, the roof is completely changed (from the floor), all the windows are forged (very strong) bars, it has an open balcony of 10 sq. M. For sale with property (refrigerator, TV, kitchen, bedroom, living room furniture, food production conditioner) + 6 sq. M. Storage room with 7 25 sq. M. Garage. This building is the strongest residential building built in Talin. Price is not negotiable.Code 01-007Translated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/17643660
Stone,Yes,Not available,2,150 sq.m.,6,2,from 2.7 m,1,Open balcony,Available,No Renovation,"1-ին փողոցի 1-ին նրբանցք 1, Բյուրական","$45,000",USD,"The apartment is newly built and has six rooms. Large outdoor balcony. The roof is new. She is a very beautiful dacha. Has a large orchard. Gas, water, light. The house is fenced. The street is bright and asphalted. Price is negotiable. It is located in Agarak village. It is close to the North-South road.Hoxi chap @ 1040 qarakusi.Translated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/16286458
Stone,No,Not available,5,46 sq.m.,1,1,from 2.7 m,4,Closed balcony,Not available,Old Renovation,Aragatsotn › Tsaghkahovit,"$8,200",USD,"It has gas and water in the permanent area, there is a school, a kindergarten and banks, the village is not like a village, the place is beautiful. Also exchange for a carattention irrelevant place asking price asking eli those who want pictures don't call you make me nervous with your ignorance and make me cryTranslated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/16335173
Stone,No,Not available,4,54 sq.m.,2,1,from 3 m,4,Closed balcony,Not available,Partial Renovation,Aragatsotn › Aparan,"$27,000",USD,"2 bedroom apartment for sale in Aparan city, on the 4/4 floor of a stone building, the area is 54 square meters, the roof is new. Closed balcony connected to the kitchen.Translated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/16305792
Stone,No,Not available,4,57 sq.m.,3,1,from 2.7 m,4,Closed balcony,,Partial Renovation,Aragatsotn › Talin,"7,000,000 ֏",AMD,"Emails have been changed. Wires, water supply and drainage pipes, it is sunny, it has a large closed vault, the roof has been changed.For rent"" 60,000 dramsTranslated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/9641823
Panels,No,Not available,5,76 sq.m.,3,1,from 3 m,2,Closed balcony,,Cosmetic Renovation,"ՌՖԷԻ Գիտավան թաղամաս 6, Աշտարակ","14,000,000 ֏",AMD,"A 3-room apartment is for sale in the city of Ashtarak, in Gitavan district (Gitavan), on the 2nd floor of a 5-story building. For details, call the indicated phone number. Urgent.Translated from Armenian",Nov-25-2022_14-10,,,,https://list.am/en/item/18120171
