Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Links
Bricks,No,Not available,5,57 sq.m.,3,1,from 2.8 m,1,Not available,Old Renovation,"Moskovyan street, Yerevan","$190,000",USD,"Վաճառվում է բնակարան Ռուսաստանում, Մոսկվա քաղաքում. ""Октябрьское Поле"" Մետրոի մոտակայքում:Հին վերանորոգում (Ոչ սովետական) :3 Սենյակ, 57 քմ:7 րոպե ոտքով մինչև Մետրոի կանգառ. Մոտակայքում առկա էն մթերային խանութներ, դպրոց, այգի, կանգառ և այլ ինֆրաստրուկտուրա: (շատ հարմար և հանգիստ թաղամաս է) :Հնարավոր է նաև փոխանակում Երևանի փոքր կենտրոնում բնակարանի, կամ առևտրային տարացքի հետ:Զանգահարեն միայն ռեալ գնորդները: (Խնայեք համ իմ, համ ձեր ժամանակը) :Продается квартира в Москве, рядом с Метро Октябрьское Поле.Старый ремонт (не советский)3 комнаты, 57 кв. М.7 минут пешком до метро. Присутствует вся необходимая инфраструктура: Магазины, остановки, школа, парк...Возможен обмен с квартирой или коммерческой недвижимостью в малом центре Еревана.Просьба: Звонить только реальным покупателям (Берегите время, как Ваше, так и мое)",Nov-25-2022_14-03,,https://list.am/en/item/17838540
Stone,Yes,Available,32+,45 sq.m.,2,1,from 3 m,13,Open balcony,Major Renovation,International › Georgia,"$100,000",USD,"Two-room apartment (hotel room, apartment) is for sale in Batumi, in the newly built Orbi City ORBI CITY complex.For sale together with the existing equipment and property. There are 2 new TV sets, 2 air conditioners, a bed, living room furniture and etc.It is located on the first line, fifty meters from the sea shore.There will be shopping centers, gyms, etc. In the complex.The apartment was rented out to provide rent and income.Click for details.Price is negotiable.Orbi city:Translated from Armenian",Nov-25-2022_14-03,Available,https://list.am/en/item/16822228
Bricks,Yes,Available,8,33 sq.m.,1,1,from 3 m,1,Not available,No Renovation,International › Russia,"5,400,000 ₽",RUB,"Վաճառում կամ փոխանակում եմ բնակարանի հետ Երևանում 1 սենյականոց բնակարան, Մոսկվայից 6 կմ հեռավորության վրա (ЖК ВИДНЫЙ ГОРОД) : Նորակառույց բնակելի համալիրում, 8 հարկանի շենքի 1 հարկում։ Մակերեսը 33 ք. Մ. Զարգացած ինֆրոստրուկտուրա (առևտրի կենտրոն, մանկապարտեզ, դպրոց և այլ) ։ Գինը 5400000 ռուբլի:Продам или обменяю квартиру в новостройке в Подмосковье по адресу ул. Галины Вишневской, д. 5 (6 км от Москвы, ЖК ВИДНЫЙ ГОРОД) на квартиру в Ереване. Новый современный монолитно-кирпичный дом, сдан в 2019 году. 1 этаж из 8 этажного дома, 33 кв. М. Хорошая транспортная доступность (10-15 минут до метро), развитая инфраструктура (ТЦ, школы, детский сад и. Т. Д) Цена 5400000 руб.",Nov-25-2022_14-03,,https://list.am/en/item/17927166
Monolith,Yes,Available,32+,43 sq.m.,2,1,from 3 m,22,Open balcony,No Renovation,International › Georgia,"$115,000",USD,"2 սենյականոց բնակարան (ապարտ) Բաթումի քաղաքում նորակառույց շքեղ Marriott հյուրանոցում Վրաստանում, 43 ք. Մ. , 22/54 հարկ.Բարձր եկամտաբերությունը ապահովված է2-комнатная квартира (квартира) в строящемся роскошном отеле Marriott в Батуми, Грузия, 43 кв. М. , этаж 22/54.Высокий урожай гарантированTranslated from Armenian",Nov-25-2022_14-03,By agreement,https://list.am/en/item/18250460
Monolith,Yes,Available,17,73 sq.m.,2,1,from 2.8 m,6,Closed balcony,Euro Renovation,International › Russia,"12,000,000 ₽",RUB,Продается Срочно 2 Комнатная Квартира Московская ОБЛ Город Видное ул Бульвар Зеленные Аллеии Дом 1 корпус 2 17 Этажного Дома 6 Этаже Евроремонт Общая Площадь 73 Кв метр Кухня 17 Кв метр Зал 25 Кв метр Спальная Комната 20 Кв метр Балкон 3 Кв метр Звоните или Пишите Лучше Пишите Срочно Продается Рядом М4 Трасса Магазины Аптеки Салон Красоты Детский Сад Школа Рядом. Остальные фото если надо могу отправить на вайбер или на вотцап. На Счет Цены Договоримся. Обмен Не предлогать.,Nov-25-2022_14-03,,https://list.am/en/item/17913204
Bricks,No,Not available,1,40 sq.m.,2,1,from 3 m,1,Not available,Old Renovation,International › Other Countries,"$19,000",USD,Առանձնատուն բնակարանք կռոպոտկինի կենտրոնումչոր մաքուր տուն ընդհանուր բակ300 քմգազ ջուր լույսնաև փոխանակում մեքենայի հետ,Nov-25-2022_14-03,Not available,https://list.am/en/item/14884684
Monolith,No,Not available,5,50 sq.m.,3,1,from 2.5 m,1,Closed balcony,Cosmetic Renovation,International › Georgia,"$175,000",USD,"The house is located 500 meters from the beach. 5 minutes on foot from the most famous beach of Batumi, Gonio.There is also a business port 15 km from Gonio Tkhinlari 1000m both together 175000 Possible exchange in Yerevan up to $80000 for a house or real estateTranslated from Armenian",Nov-25-2022_14-03,Not available,https://list.am/en/item/13673173
Monolith,Yes,Available,25,40 sq.m.,1,1,from 3 m,16,Open balcony,Major Renovation,International › Georgia,"$57,000",USD,"A one-room converted into a two-room, completely renovated apartment for sale, at the corner of Khimshiashvili and Kobaladze streets, Batumi, Republic of Georgia, in a hotel-residential complex, first line, on the sea shore, has an open balcony with a beautiful view of the blue sea. The complex is newly built, has an elevator, a security system, can be used both as a residence and as a rental. It is also possible to exchange with an apartment in Yerevan, equivalent or with an additional fee. The apartment is sold with furniture and appliances. Only real buyers should call.Price is negotiable.Translated from Armenian",Nov-25-2022_14-03,Available,https://list.am/en/item/18044222
Stone,Yes,Available,6,57 sq.m.,2,1,from 3.5 m,4,Open balcony,Designer Renovation,International › Other Countries,"€49,000",EUR,"Болгария, город Обзор, 5-и звездочный резорт Санрайз на берегу моряПолный ремонт, полностью оборудованный:Мебель, техника, кондиционеры, посуда, постельние принадлежности.Паркинг, свой подвал подсобный.4 бассейна для взрослых, 4 для детей, екоозеро по датским технологиям, 2 ресторана, 2 бара кафе,маркет, магазины, СПА, сауна и тд. , фитнесс, корт, футбольное поле, летний кинотеатр,игральные комнаты для детей.2 минуты от пляжа, 4 этаж, вид на море с балкона.",Nov-25-2022_14-03,Available,https://list.am/en/item/11535468
Monolith,Yes,Available,10,29 sq.m.,1,1,from 3 m,6,Closed balcony,Designer Renovation,International › Russia,"6,800,000 ₽",RUB,"Уникальное предложение! Прадается Студия в ЖК Барселона 2. Это 10-ти этажный дом с цоколем. Жилой комплекс построен в престижном и приближенном центру микрорайона Новый Сочи (Центральный район) В пешей доступности от комплекса находятся супермаркети, кафе, санатории Салют, Беларус, Нева и Русь, а также дача администации президента России Бачаров Ручей. За 15 минут пешком можно дойти до оборудованных и чистых пляжей Члрного моря. Каартира уютная, стелано высококачественных ремон, и оборудованна дорогими мебелями и техникой. Мебель и техника остается. Срочно!",Nov-25-2022_14-03,,https://list.am/en/item/17806753
