Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Parking
Everything Else,200 sq.m.,"Улица Ширакаци 10, Гюмри","170,000 ֏",AMD,Сдается в аренду действующий магазин строительных инструментов + участокВозле большого магазина Vega у мостаДля подробностей звоните или пишите,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17880934,
Office Space,600 sq.m.,"Gai Street, Gyumri","$3,500",USD,"A three stored commercial area is for rent in the heart of Gyumri, next to the Technopark.Dear customer, You can rent the building as a whole or on separate floors.Semi-basement floor.The area is 200 square meters. Մ.Has cooling, heating system, the floor is tiled, cosmetically repaired, 2 bathrooms,The price is $ 1000First floor.The area is 200 square meters. M:Has cooling, heating system, the floor is tiled, cosmetically repaired, 1 bathroom,The price is $ 1500Second floor. Area: 200 sq. M. Մ.It also has a cooling and heating system, the floor is tiled, cosmetically repaired, 1 bathroom, price $ 1000Dear customer, the building is for rent ONLY ON LONG-TERM RENT.With respects,POWERFUL HOUSE REAL ESTATE AGENCY.Code 888GTTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/16415711,
Retail Space,592 sq.m.,Shirak › Artik,$300,USD,"1600 sq / m for rent ․ Commercial area with a total area of 591.9 sq. M., which is occupied by the shop, and the storage area is 483.8 sq. M. The area is rented in whole or in part. The rent for the store is $ 300, and the storage space is $ 200, and in case of full rent, the price will be $ 450. The whole building is in very good condition. There is water, three-phase electricity in the area, if necessary, it can be gasified.It is possible to sell the area in whole or in part. The initial cost of the whole area is $ 200,000.Translated from Armenian",Nov-24-2022_22-32,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/17564711,
Building,250 sq.m.,"Եղիշե Չարենցի փողոց 1, Գյումրի","190,000 ֏",AMD,The 1st floor of a building is for rent at the beginning of Yeghishe Charents street.With a total area of 250 square meters.With communal facilities.Translated from Armenian,Nov-24-2022_22-32,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/17513981,
Everything Else,150 sq.m.,"P. Sevak street, Gyumri","330,000 ֏",AMD,"A public space is for rent on the second floor of a new two-story building in Gyumri, on Paruyr Sjak street, with an area of 150 square meters.With all utilities.It has an attic / 60 square meters /, which can be used as a warehouse. There are also separate rooms, which are very convenient to use as playrooms or private rooms.Suitable for educational activities.The area is in front of the church.Translated from Armenian",Nov-24-2022_22-32,By agreement,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/17513931,
Functioning Business,20 sq.m.,"Улица Нерсеса IV Шнорали 49, Гюмри","1,800,000 ֏",AMD,"Operating business - store ""CHIKEN"" specialized store with full inventory/fresh and frozen poultry, semi-finished products, eggs, a wide range of milk and dairy products/the store is located in the textile district, near the beach.Translated from Armenian",Nov-24-2022_22-32,Available,Not available,First Line,Separate from the Street,Direct Lease,3 months,By Agreement,Not included,https://list.am/en/item/17164812,
Multifunctional Space,360 sq.m.,Shirak › Gyumri,"900,000 ֏",AMD,"A three-story building with a basement, 360 square meters, with multi-functional facilities, near the bus station, is for rent.Call for other details.Translated from Armenian",Nov-24-2022_22-32,Not available,Not available,First Line,Separate from the Street,Direct Lease,6 months,1 month,Not included,https://list.am/en/item/17477428,
Retail Space,25 sq.m.,"Ռեպինի փողոց 8Ա, Գյումրի","80,000 ֏",AMD,"ՇԱԱԱՏ ՇՏԱՊ է վաճառվում կամ տրվում է վարձով продаётся или сдаётся в аренду մանրամասների համար զանգահարել коммерческая недвижимость, офисное помещение склад точка общепита пекарня магазин, АПТЕКА, овощи фрукты, магазин одежды. С теплоизоляцией, стены и потолок абсолютно новая, с рекламной стойкой с электромонтажом. Срочно звоните для подробностей. СРОЧНО сделаю хороший торг до конца месяца КОММЕРЧЕСКАЯ НЕДВИЖИМОСТЬ, гостевой дом, жилая площадь, 25 кв. М. , утеплен, проведено электричество, трехфазный кабель, отдельный рекламный стенд, витражные двери по договорённости поставим.",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18324290,
Industrial and Manufacturing,70 sq.m.,Shirak › Gyumri,"350,000 ֏",AMD,A working bakery! About 80 operating stores for rent along with its delivery network!Translated from Armenian,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18098173,
Retail Space,400 sq.m.,"Մայակովսկի փողոց 66, Գյումրի","650,000 ֏",AMD,"The three-storey multifunctional property is located in the central part of Gyumri, next to the Alexandropol Hotel, very close to the market and the central (Vardanants Square)Suitable for any type of activity: Bank, Guesthouse, Tavern / Restaurant, Restaurant and other activities.The branches of almost all banks and credit organizations operating in Gyumri are 200-500 meters away.It has a wide and spacious outdoor parking lot.First floor tiled heated floor 200 sq. M.The second floor is tiled 100 sq. M.The third floor is under renovation of 100 square meters.If necessary, an elevator will be installed upon request.There is an opportunity to provide the area with separate floors ․․․Translated from Armenian",Nov-24-2022_22-32,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/14360240,
