Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links
Warehouse,160 sq.m.,"Syuniq street, Goris","70,000 ֏",AMD,"Area for rent at 189 Syunik, Warehouse, Workshop has 2 different entrances and exit or other business to hurt and warehouse or for production parts, callTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/16761846
Hotel,110 sq.m.,"Orbelyanner street, Goris","5,000 ֏",AMD,"B & B Center Hotel:-free wi-fi-comfortable and built-in pavilionsAccess with pets-washing machine֊TVIt is for daily rent, 5000 AMD for 1 dayTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/17269733
Retail Space,35 sq.m.,Syunik › Meghri,"250,000 ֏",AMD,For rent only in the center of MeghriTranslated from Armenian,Nov-24-2022_22-30,By agreement,Not available,First Line,Separate from the Street,Direct Lease,3 years,2 months,Not included,https://list.am/en/item/16259731
Office Space,56 sq.m.,"Ստեփան Շահումյանի փողոց 11, Կապան","130,000 ֏",AMD,"The area is located next to VIVacell, it is fully renovated, you can use it for office or other purpose. If desired, it will also be given with property.You can contact the same number via VIBER and WHATSAPP.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/18369455
Industrial and Manufacturing,110 sq.m.,"Syuniq street, Goris","150,000 ֏",AMD,"A commercial area is for rent in the center of Goris, 14 Syunik, next to VTB Bank.Suitable for any type of business, including trading, warehousing, manufacturing or other activities.It has all the utilities, three-phase electricity system.The area has one big room and two small rooms.The area is for sale, the price is negotiable.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/17749819
Office Space,90 sq.m.,"Հունան Ավետիսյանի փողոց 12, Կապան","120,000 ֏",AMD,"Commercial area for rent or sale in Kapan, in a busy area next to the interstate road, next to the 9th high school, can be used for different purposes, all the amenities are available, there is a separate building at the backTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/17945888
Warehouse,50 sq.m.,Syunik › Goris,"45,000 ֏",AMD,"Renovated area of about 25 square meters is for rent, it is suitable for storage, doctor of Goris, call for details near the center, address V, 25 Mamikonyan. It is also provided with a ready-made cattle barn, cages for pigs with all its amenities, water, light.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/17285878
Office Space,90 sq.m.,Syunik › Goris,"280,000 ֏",AMD,"A capitally renovated area is for rent in the center of Goris. The area is suitable for all types of commercial purposes, especially for banks.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/17155943
Office Space,80 sq.m.,"Syuniq street, Goris","250,000 ֏",AMD,"A newly built area is for rent in the central part of the city, which is suitable for solar, office, banking and other activities. The price is negotiable.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/18257815
Office Space,60 sq.m.,"Arakelyan Street 5, Goris","150,000 ֏",AMD,"Office/commercial space 60 sq/m for rent in Goris city. The area is renovated, there is a bathroom.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/18110339
Retail Space,250 sq.m.,Syunik › Kapan,"750,000 ֏",AMD,"Сюникски марз город Капан, улица Шаумяна 15Сдаётся 250 квм помещение Комерческого назночения.",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/17475250
Warehouse,50 sq.m.,Syunik › Kapan,"40,000 ֏",AMD,A garage is for rent as a warehouse. It is located next to Halidzor district 8 buildingTranslated from Armenian,Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/17477215
Office Space,65 sq.m.,"Հովհաննես Թումանյանի փողոց 8, Կապան","200,000 ֏",AMD,"Space for rent. There is hot and cold water, gas stove, refrigerator, air conditioner.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,https://list.am/en/item/18138839
