Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Links
Functioning Business,Wooden,1300 sq.m.,Vayots Dzor › Arpi,"$200,000",USD,"Existing business recreation area for sale, Vayots Dzor region, v. In Arpi, on the bank of the Arpa River. On the Yerjan-Meghri highway.There are 6 pavilions in the recreation area for 50 to 6 people. In the area there is a wooden house, a half-built building, toilets, water, light, wi-fi, a beautiful green area, fruit seedlings, decorative trees, parking, swings, hammocks, refrigerators.Operational significance of the land: Public construction, area size 1300mq, 500mq parking lot.Translated from Armenian",Nov-24-2022_21-57,,,,,https://list.am/en/item/17491131
Industrial and Manufacturing,Stone,500 sq.m.,Vayots Dzor › Jermuk,"$30,000",USD,"Production area for sale in Jermuk, the building is private, three-phase electricity, water, gas - VERY URGENT - land 1250 m - Exchange with a car is possible ․Translated from Armenian",Nov-24-2022_21-57,Not available,Not available,Second Line,Common from the Street,https://list.am/en/item/17234997
Industrial and Manufacturing,Stone,3000 sq.m.,"Erevanyan street, Yeghegnadzor","$98,000",USD,"Production space on Yerevanyan Street in Yeghegnadzor, 3000 sq. M.Yerevanyan Street, YeghegnadzorType:Production areaTotal area3000 sq. M.DIRECT FROM THE OWNERNew cheap price!Urgent sale of stone processing workshop below market price.Partial sale possiblePartial / machine sales possible15m distance from Yerevan-Yeghegnadzor highwaySeparate transformer stationThere is also an orchard in the areaIt is sold with all property, tools and equipment.Translated from Armenian",Nov-24-2022_21-57,Not available,Not available,First Line,Separate from the Street,https://list.am/en/item/18175405
Industrial and Manufacturing,Stone,5750 sq.m.,"Erevanyan street, Yeghegnadzor","15,000,000 ֏",AMD,I am selling a production public space in YeghegnadzorTranslated from Armenian,Nov-24-2022_21-57,,,,,https://list.am/en/item/15817954
Everything Else,Stone,2000 sq.m.,Vayots Dzor › Yeghegnadzor,"$50,000",USD,"Տարածքի մակերեսը 2000 քմ է: Տարածքում առկա է երկհարկանի շինություն, որն ունի նաև օժանդակ կառույց: Հիմնական կառույցի ամեն հարկի մակերեսը 229 քմ է: Օժանդակ շինության մակերեսը 144 քմ է: Կառույցը նախկինում ծառայել է որպես ՙՙՌեստորան-սաունա՚՚: Ունի խմելու ջուր, եռաֆազ հոսանք և առանձին կոյուղի: Տարածքը պարսպապատ է: Հեռավորությունը մայրուղուց 250 մետր է:Տարածքը կարող է ծառայել որպես արտադրամաս, հյուրատուն, հյուրանոց: Հնարավոր է նաև օգտագործել որպես բնակելի տարածք: Երկար ժամանակ չօգտագործելու արդյունքում, շինությունը պահանջում է կապիտալ վերանորոգում:Գինը սակարկելի է",Nov-24-2022_21-57,By agreement,Available,Other,Separate from the Courtyard,https://list.am/en/item/11606503
Retail Space,Stone,800 sq.m.,"Stepan Shahumyan Street 12, Jermuk","$200,000",USD,"Commercial land is for sale on a very busy section of the road leading to Jrvezh, Jermuk city, 800 square meters.For more information callTranslated from Armenian",Nov-24-2022_21-57,Not available,Not available,First Line,Common from the Street,https://list.am/en/item/15832300
Building,Stone,2200 sq.m.,"Shahumyan street, Jermuk","$450,000",USD,"Շինությունը 2 հարկանի է. Ունի նկուղ. 1ին հարկի բարձրությունը 4.5մետր. 2 րդ հարկինը 6 մետր. Հարմար է գրեթե բոլոր բիզնեսային առումով. Ունի սեփական 2200 քմ հող. 765քմ շինություն. Նախագիծ"" Ալեքսանդր Թամանյան: Շինությունը գտնվում է քաղաքի սրտում. Здание имеет 2 этажа. Есть подвал. Высота 1 этажа 4,5 метра. 2 этаж 6 метров. Подходит практически для всех аспектов бизнеса. Имеет собственный 2200 квадратных метров земли. Здание 765 квадратных метров. Проект ""Александр Таманян: Здание расположено в самом центре города.",Nov-24-2022_21-57,Not available,Not available,First Line,Common from the Street,https://list.am/en/item/8171913
Multifunctional Space,Monolith,90 sq.m.,"Ձախափնյակ թաղամաս 3/18, Ջերմուկ","$3,900",USD,"90 sq. M. Multifunctional commercial area is for sale in Dzakhapnyak district of Jermuk, in the basement of a residential building (which is actually a semi-basement, with double-glazed windows and lighting), the purpose of which is PUBLIC. The area is in zero condition, it has a bathroom. Suitable for beauty salon, dental clinic, office. It can also be used as a HOSTELTranslated from Armenian",Nov-24-2022_21-57,Not available,Not available,Other,Common from the Courtyard,https://list.am/en/item/17899215
Functioning Business,Stone,"10,000 sq.m.",Vayots Dzor › Yeghegnadzor,"$2,500,000",USD,"A restaurant is for sale in Yeghegnadzor, near Noravank, with its land and wine cellar, call for details. Very urgently.Translated from Armenian",Nov-24-2022_21-57,By agreement,Not available,First Line,Separate from the Street,https://list.am/en/item/15476622
Office Space,Panels,40 sq.m.,"Dzakhapnyak St, Jermuk","$8,000",USD,"Վաճառվում է տարածք Ջերմուկի Ձախափնյակ թաղամասում։ Տարածքը վերանորոգված է, ունի մեկ ընդհանուր սրահ և սանհանգույց։ Կա ջուր և էլ․ հոսանք․։ Տարածքը կարող է ծառայել որպես բնակարան, գրասենյակ, խանութ և արտադրամաս։Կտրամադրվի նաև վարձակալությամբ։",Nov-24-2022_21-57,,,,,https://list.am/en/item/14671920
