Type,Floor Area,Address,Price,Currency,Description,Datetime,Links
Garage,25 sq.m.,Armavir › Metsamor,"$2,200",USD,There is also a garage with panels on the south side and a second floor in semi-constructed condition (negotiable)Translated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/17965995
Garage,24 sq.m.,Armavir › Metsamor,"$7,500",USD,"For sale or exchange for a car, a solid stone garage, with a new roof panel, has a Privatization certificate. It is convenient to use as a shop. It is located on the side of the 10th building, the 1st garage.Right next to the garage there is a free plot of land 2.0×6.0.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16400658
Garage,18 sq.m.,"Zvartnots, IA Departure","400,000 ֏",AMD,5.20 length is in good conditionTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/9613244
Garage,15 sq.m.,Armavir › Armavir,"400,000 ֏",AMD,"Garage for sale in Armavir (Norapat, near the train lines)Garage, garage:Width 3 meters, height 1․95, length 5 mTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16996391
Garage,30 sq.m.,Armavir › Armavir,"$2,000",USD,A garage is for sale on Baghramyan street. It is in good condition.Translated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/16798021
Garage,"20,000 sq.m.","Erevanyan street, Armavir","$1,500",USD,Wagon Cabin Wagon Cabin Cabin Wagon Cabin Cabin Wagon Cabin CabinTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/18064088
Garage,17 sq.m.,"Jivani street, Armavir","$2,000",USD,Let's have a stone garage 2.70 long 6.10 high 2.20Translated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/12187099
Garage,1650 sq.m.,Armavir › Metsamor,"$8,000",USD,"Garage for sale with 48 sq/m parking space, 20 sq/m basement, 90 sq/m walled area adjacent to garage, 20 sq/m roof and 16 sq/m building with 1320 sq/m rural land. There is legal electricity and it has the possibility of irrigation water. The area is suitable for a workshop, gardening. In exchange for an equivalent property or a car, I will listen to your suggestions.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/18166478
Garage,20 sq.m.,"Улица Врам Костанян 3, Вагаршапат","$2,200",USD,Metal garage for sale very urgentTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/18075758
Garage,26 sq.m.,"Baghramyan street 24, Vagharshapat","$5,000",USD,"Stone, wide. 3.45 m, d. 7.65 m, the area is 26.4 square meters. M. It has a water line, a sink, a drainage line, electricity, there is a hole for storing goods, the walls and floor are covered with concrete plaster, the roof is monolithic and it is covered with cypher. Negotiable.I have a document issued by the condominium stating that the garage is my property.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/12981500
Garage,24 sq.m.,Armavir › Echmiadzin,"$9,000",USD,Code H039:Stone garage for sale in K. Etchmiadzin. In the beginning of Charents district Building 25 sq. M.Fire:For more information callTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/17092453
Garage,21 sq.m.,Armavir › Armavir,"$2,000",USD,"Garage for sale, can also serve as a warehouse, built very solidly զանգ Call for questions.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17764800
Garage,,"Եղիշե Չարենցի փողոց 23, Վաղարշապատ",$600,USD,"For sale is a garage with a portable iron, located in the city of Etchmiadzin, dimensions 3 m wide 5 m ․ two.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/10731696
Garage,500 sq.m.,Armavir › Bambakashat,"$10,000",USD,7 semi-built garages in front of 20 m of free space ownedTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/18069107
Garage,20 sq.m.,Armavir › Vanand,"$1,200",USD,"Hut, cottage, wagonOn 3x6.7There is no version of Nissa PkkovTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16546465
