Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Links
House,Stone,130 sq.m.,2,5,3+,Designer Renovation,500 sq.m.,8+,Yes,Yes,Included,By Agreement,Gegharkunik › Sevan,"$1,100 monthly",USD,"Օրավարձով և երկարաժամկետ վարձակալության է տրվում դիզայներական ոճով վերանորոգված սեփական տուն՝ Սևանա լճի ափին։ Տունը նախատեսված է 10 անձի համար։Վերանորոգումը կատարվել է 2022թ-ի օգոստոս ամսին։Մահճակալները նոր են՝ օրթոպետիկ ներքնակներով, առկա է 3 սանհանգույց, սպասք, ինտերնետի հասանելիություն, սմարթ հեռուստացույց, բարձրակարգ մեդիա համակարգ, սառնարան, միկրոալիքային վառարան, թեյնիկ, մանղալ իր պարագաներով և այլն։Сдается посуточно и долгосрочно частный дом с дизайнерским ремонтом в Шорже, на берегу озера Севан. Дом рассчитан на 10 человек.Ремонт сделан в августе 2022 года.Кровати новые с ортопедическими матрасами, есть посуда, интернет, смарт ТВ, медиасистема высокого класса, холодильник, микроволновая печь, чайник, мангал с принадлежностями и т. Д.Также возможна аренда двора, цена будет 60 000 драм.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18202726
House,Stone,130 sq.m.,1,4,1,No Renovation,1200 sq.m.,,,,,,"Sevan-Martuni Highway, Lichk","65,000 ֏ monthly",AMD,"For sale, in case of long-term desire, sale.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17554338
House,Stone,64 sq.m.,1,3,1,Designer Renovation,120 sq.m.,7,Yes,No,Included,By Agreement,Gegharkunik › Sevan,"45,000 ֏ daily",AMD,3 bedroomsbathroombalconyliving roomsmall kitchenlake view**6-7 people**Code angar3Translated from Armenian,Nov-24-2022_22-58,Available,Not available,"TElevision, barbecue oven, gazebo",FRidge,https://list.am/en/item/18075167
House,Stone,145 sq.m.,1,4,1,Euro Renovation,600 sq.m.,,,,,,"Sayat-Nova Street 31/1, Sevan","15,000 ֏ daily",AMD,"Առանձնատունը կահավորված է, ջեռուցվում է, կա ամեն գույք բնակվելու համար։ Սևանա լճի լողափից 10րոպե (քայլք) հեռավորություն։ Դպրոց, մանկապարտեզ, խանութներ հարևանությամբ։ Լայնարձակ բակ + այգի + ավտոկայանատեղի։ Տրվում է նաև երկարաժամկետ։ Дом сдаётся со всеми принадлежностяами для прожывания, дом находится в тихом спокойном районе города Севана, не долеко от озеро Севана пишком 10 минут, рядом школа (напровление русское), детсад, прогулочный сад, стадион, личная порковка и т. Д. Երկարաժամկետ, կամ ամսեկան վարձակալության դեպքում այլ վճար 180000amd на длительный срок",Nov-24-2022_22-58,,,,,https://list.am/en/item/17541948
Country House,Bricks,30 sq.m.,1,3,1,Designer Renovation,50 sq.m.,,,,,,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,The cabin is located on the shore of Sevan near Harnskar. It has been fully renovated. It has 2 bedrooms and 1 living room. It is located 30 m from the shore in the forest area. It is very suitable for organizing family vacations.Translated from Armenian,Nov-24-2022_22-58,,,,,https://list.am/en/item/18094514
Country House,Stone,80 sq.m.,1,4,1,Major Renovation,,,,,,,"Yerevanyan highway, Սևան","35,000 ֏ daily",AMD,"LAVANDA CITY LAVANDA CITY LAVANDA CITY:Spacious living roomKitchen (refrigerator, dishes)Bathroom3 spacious bedroomsSpacious balconyHeating system, permanent cooling: Cold waterGreen garden,Pavilion, barbecue,Parking:Code KV002Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/14389879
House,Stone,46 sq.m.,1,2,2,Major Renovation,30 sq.m.,,,,,,"Sayat Nova street, Sevan town","12,000 ֏ daily",AMD,"A house with 2 separate apartments for daily rent (Sevan city)The apartments are designed for 3-4 people.Each apartment has:1 bathroom1 bedroomkitchenhot and cold waterelectric gas stoverefrigeratornecessary utensilssmart tv1 double bed1 sofa (folding)Wi-FiThe apartments are rented both separately and together.The cost of renting each apartment for one day is AMD 12,000.In case of renting together, there will be a discount system.Discounts will also apply if you rent for 2 or more days.The distance to the beach is 1.5 km from the house.Address: Sayat-Nova 26, c. Sevan.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17999446
Country House,Wooden,27 sq.m.,1,2,1,Major Renovation,,,,,,,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,"A house for rent on the banks of the Sevan, two rooms with their own gazebos, 30 meters from the shore. Gazebo house. Domik irenc besedkovTranslated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18091147
House,Stone,110 sq.m.,1,4,1,Old Renovation,300 sq.m.,7,Yes,Yes,Not included,2 months,"Դեմիրճյան փողոց 32, Գավառ","40,000 ֏ monthly",AMD,"The house is located in the province, near the vaikomatTranslated from Armenian",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/18220410
House,Stone,80 sq.m.,1,2,1,Old Renovation,,1,No,No,Not included,By Agreement,Gegharkunik › Shoghakat,"70,000 ֏ monthly",AMD,"A private house on the shore of Lake Sevan in the village of Shorzha is for sale, exchange or rent. The house consists of four rooms, a kitchen, a bathroom and a bathroom are located inside the house. There is a large open balcony in front of the house. The house is gasified, 2 gas stoves and a water heater are installed, it is provided with constant water and electricity, the wires of which have been changed.The house is located in the center of the plot, it has no common walls with the neighbors. In front of the house there is a large garden with fruit trees, in the back of the house there is a large, watered plot for cultivation. There is a large cellar and a barn in the yard. An iron gate is installed, the door of the house is also iron. The house is furnished, if necessary, dishes and bedding will be provided. In front of the house there is a large garden and a yard that can be used as a parking lot.Translated from Armenian",Nov-24-2022_22-58,Available,1 spot,,,https://list.am/en/item/17580753
