Type,Land Area,Address,Price,Currency,Description,Datetime,Links
For Public Buildings,300 sq.m.,Shirak › Gyumri,"$55,000",USD,"Գյումրիի կենտրոնում վաճառվում է 300 քմ սեփական հողատարածք: Հողատարածքը գտնվում է Գ. Նժդեհ փողոցի վրա (հասցե Գ. Նժդեհի 16 Գ), Շիրակի մարզպետարանի շենքի հարևանությամբ, տարածքի առջևի մայթին կառուցվում է Park Gyumri նոր էլիտար թաղամասը: Ողջ տարածքը ունի պատրաստի հիմք: Տարածքին կից առկա է տարացք, որը հարմար է ավտոկանգառի համար:Հնարավոր է նաև փոխանակում մեքենայի հետ գնորդի կողմից գումարի տարբերության հավելավճարով:В центре Гюмри продается земельный участок в 300 кв. М. Земельный участок находится на улице Г. Нжде, рядом со зданием марзпетарана. На всей площади заложен фундамент. Перед земельным участком есть прилегающая территория удобная для парковки.Возможен обмен с автомобилем с доплатой.",Nov-25-2022_01-05,https://list.am/en/item/17669766
Agricultural,"60,000 sq.m.","2-րդ փողոց 11, Հացիկ","12,000,000 ֏",AMD,"For sale in Hatsik, 6 hectares of Jrovi berry land near the fieldTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18150025
For General Purpose,200 sq.m.,Shirak › Gyumri,"$19,000",USD,"Land for sale, located in Mush 2 district, in the newly created square and occupies 200 sq / m, significance for construction and service. The area is suitable for all kinds of activities. It is privatized. Exchange with car or apartmentTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/13370673
For Residential Development,189 sq.m.,"Ghorghanayn Street, Gyumri","$49,000",USD,"The house is located at 342 Ghorghanyan street, 21 former Sverdlovi street (former Slabotka district)The land is located in the reserve.Price negotiable.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18332831
For Residential Development,509 sq.m.,"1-й квартал улицы В. Саргсян 94/9, Гюмри","$18,000",USD,"Own, there is a basis. Electricity, waterTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18286277
Agricultural,"37,310 sq.m.",Shirak › Mets Sepasar,"$18,000",USD,"It is for sale urgently, right in the middle of the intersection of Mets Sepasar and Ghazanchi villages, there is a car road on both sides. If I sell it by one hectare, each hectare will cost $7,000. Call the phone number.41.056294, 43.846092,I will exchange for cars or other land near YerevanTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17566236
For Residential Development,1500 sq.m.,Shirak › Hatsik,"$15,000",USD,"Urgent. 13 * 13 (169) area is for sale, a semi-constructed apartment with a total area of 1500 m. Or exchange with an equivalent car.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/15989812
For Public Buildings,604 sq.m.,"Մուշ 2 թաղամաս 12, Գյումրի","$15,000",USD,It is also possible to exchange with a car or an apartmentTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/17769130
For Residential Development,70 sq.m.,Shirak › Gyumri,"$12,500",USD,Land It is located on Sayat Nova str. 9 sh. 28 houses in 4 lanes with Purman in the rear. CallTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/18284882
For General Purpose,800 sq.m.,"Vazgen Sargsyan street, Gyumri","$30,000",USD,Exchanged with a 2 or 3-room apartmentPrivatized house projectTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/17049117
Agricultural,7000 sq.m.,Shirak › Gyumri,$77,USD,Gyumric Arevik tanox chanaparhi mot,Nov-25-2022_01-05,https://list.am/en/item/15863286
For Residential Development,1200 sq.m.,Shirak › Gyumri,$77,USD,1200 m of land is for sale in Azatan villageTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/15863209
